#v1.1-loci	v2.0.0-loci
OG0014678	0001
OG0021471	0002
OG0021531	0003
OG0019075	0004
OG0021435	0005
OG0014261	0006
OG0017607	0007
OG0018980	0008
OG0012890	0009
OG0019122	0010
OG0011099	0011
OG0012276	0012
OG0013550	0013
OG0013296	0014
03_1067	0015
OG0019056	0016
OG0013537	0017
OG0011645	0018
OG0018948	0019
OG0019004	0020
OG0017633	0021
OG0010318	0022
OG0017600	0023
OG0019147	0024
08_3232	0025
07_1529	0026
Unassigned_762	0027
07_2520	0028
OG0013349	0029
01_771	0030
07_2411	0031
OG0017624	0032
OG0015569	0033
OG0021505	0034
OG0015021	0035
OG0013296	0036
OG0017619	0037
OG0019133	0038
OG0019128	0039
OG0018997	0040
OG0019078	0041
OG0016394	0042
OG0019032	0043
09_1125	0044
OG0012029	0045
OG0021327	0046
OG0011861	0047
OG0021373	0048
OG0017606	0049
OG0006659	0050
OG0006047	0051
OG0016596	0052
OG0013627	0053
OG0019079	0054
OG0015047	0055
08_1594	0056
10_933	0057
OG0010913	0058
OG0010532	0059
09_51	0060
OG0011655	0061
OG0012260	0062
Unassigned_425	0063
OG0007621	0064
OG0009129	0065
OG0012263	0066
05_2593	0067
OG0012298	0068
OG0012766	0069
02_1170	0070
OG0009851	0071
OG0011245	0072
OG0012620	0073
01_1025	0074
OG0011046	0075
OG0012241	0076
OG0012226	0077
10_368	0078
04_2601	0079
08_2531	0080
06_202	0081
OG0013112	0082
OG0019118	0083
OG0014104	0084
OG0007012	0085
OG0013626	0086
OG0006306	0087
OG0014494	0088
OG0019092	0089
OG0016572	0090
OG0014115	0091
OG0016339	0092
OG0012501	0093
OG0015709	0094
OG0016367	0095
OG0010680	0096
OG0017475	0097
OG0016376	0098
OG0011799	0099
OG0016512	0100
OG0012750	0101
OG0015697	0102
OG0016369	0103
OG0015565	0104
OG0007033	0105
OG0019040	0106
OG0021362	0107
OG0019080	0108
OG0009111	0109
OG0019013	0110
OG0013511	0111
OG0017513	0112
OG0019008	0113
OG0015146	0114
OG0013122	0115
OG0015779	0116
OG0012171	0117
OG0012843	0118
OG0005109	0119
OG0017604	0120
OG0011972	0121
OG0012314	0122
OG0011000	0123
OG0007769	0124
OG0010483	0125
OG0012005	0126
OG0011388	0127
OG0015588	0128
OG0013036	0129
OG0010382	0130
OG0005823	0131
OG0011803	0132
OG0006023	0133
OG0010612	0134
OG0004286	0135
OG0007737	0136
OG0014100	0137
OG0008188	0138
OG0017613	0139
OG0012274	0140
OG0011729	0141
OG0015149	0142
OG0012072	0143
OG0010836	0144
OG0009150	0145
02_951	0146
OG0010530	0147
OG0011095	0148
OG0012095	0149
05_3418	0150
OG0009242	0151
OG0013482	0152
OG0012389	0153
OG0011783	0154
04_3223	0155
OG0011757	0156
04_1901	0157
OG0012110	0158
04_3363	0159
OG0011932	0160
02_1113	0161
OG0012172	0162
OG0009837	0163
OG0007579	0164
OG0011204	0165
